Ticker,Company Name,Sector,Industry,Fiscal_Year,Report Date,Revenue,COGS,SGA,Operating_Income,Net_Income,Total Assets,COGS_ratio,SGA_ratio,Operating_margin,Net_margin,Log_Assets
BARK,"BARK, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2024,2025-03-31,484182000.0,-182194000.0,-337136000.0,-35148000.0,-32878000,260635000.0,0.3762923859209967,0.6963001515958875,-0.07259253751688415,-0.06790421783544204,19.378631519085815
BBBY,BED BATH & BEYOND INC,Consumer Cyclical,Retail - Apparel & Specialty,2020,2021-02-28,9233028000.0,-6114947000.0,-3224363000.0,-106282000.0,-150773000,6456930000.0,0.6622905291741777,0.3492205374011646,-0.011511066575342347,-0.01632974577787482,22.58841980958417
BBBY,BED BATH & BEYOND INC,Consumer Cyclical,Retail - Apparel & Specialty,2021,2022-02-28,7867778000.0,-5384287000.0,-2692292000.0,-208801000.0,-559623000,5130572000.0,0.6843465842579697,0.34219216658121265,-0.026538750839182296,-0.07112846854601133,22.35848299088798
BBBY,BED BATH & BEYOND INC,Consumer Cyclical,Retail - Apparel & Specialty,2022,2023-02-28,5344685000.0,-4129802000.0,-2372969000.0,-1158086000.0,-3498801000,2225217000.0,0.7726932457198132,0.4439866895803962,-0.21667993530020946,-0.654631844533401,21.523120275898947
BBW,"Build-A-Bear Workshop, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2020,2020-12-31,338543000.0,-184920000.0,-152047000.0,1576000.0,261000,297262000.0,0.5462230794906408,0.449121677305394,0.004655243203965227,0.0007709508097937338,19.51012446277919
BBWI,"Bath & Body Works, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2020,2021-01-31,6434000000.0,-3338000000.0,-1492000000.0,1604000000.0,844000000,11571000000.0,0.5188063413117812,0.23189306807584706,0.24930059061237178,0.13117811625738265,23.171767804840613
BBWI,"Bath & Body Works, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2021,2022-01-31,7882000000.0,-4027000000.0,-1846000000.0,2009000000.0,1333000000,6026000000.0,0.510910936310581,0.23420451662014716,0.25488454706927177,0.16911951281400658,22.51934927765452
BBWI,"Bath & Body Works, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2022,2023-01-31,7560000000.0,-4305000000.0,-1879000000.0,1376000000.0,800000000,5494000000.0,0.5694444444444444,0.24854497354497354,0.182010582010582,0.10582010582010581,22.426922424619494
BBWI,"Bath & Body Works, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2023,2024-01-31,7429000000.0,-4193000000.0,-1951000000.0,1285000000.0,878000000,5463000000.0,0.5644097455916005,0.2626194642616772,0.17297079014672231,0.11818548929869431,22.42126392635999
BBWI,"Bath & Body Works, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2024,2025-01-31,7307000000.0,-4073000000.0,-1968000000.0,1266000000.0,798000000,4872000000.0,0.5574107020665116,0.26933077870535105,0.1732585192281374,0.10921034624332832,22.30677036735401
BBY,BEST BUY CO INC,Consumer Cyclical,Retail - Apparel & Specialty,2020,2021-01-31,47262000000.0,-36689000000.0,-7928000000.0,2645000000.0,1798000000,19067000000.0,0.7762896195675173,0.16774575769116837,0.05596462274131438,0.03804324827557023,23.671224929028718
BBY,BEST BUY CO INC,Consumer Cyclical,Retail - Apparel & Specialty,2021,2022-01-31,51761000000.0,-40121000000.0,-8635000000.0,3005000000.0,2454000000,17504000000.0,0.7751202642916482,0.16682444311354108,0.058055292594810765,0.04741021232201851,23.585695263185983
BBY,BEST BUY CO INC,Consumer Cyclical,Retail - Apparel & Specialty,2022,2023-01-31,46298000000.0,-36386000000.0,-7970000000.0,1942000000.0,1419000000,15803000000.0,0.785908678560629,0.17214566503952655,0.04194565639984449,0.03064927210678647,23.483465632373377
BBY,BEST BUY CO INC,Consumer Cyclical,Retail - Apparel & Specialty,2023,2024-01-31,43452000000.0,-33849000000.0,-7876000000.0,1727000000.0,1241000000,14967000000.0,0.7789975144987572,0.18125747951762866,0.0397450059836141,0.028560250391236306,23.42911361449342
BBY,BEST BUY CO INC,Consumer Cyclical,Retail - Apparel & Specialty,2024,2025-01-31,41528000000.0,-32143000000.0,-7651000000.0,1734000000.0,927000000,14782000000.0,0.7740078982854941,0.18423714120593335,0.04175496050857253,0.0223222885763822,23.416676061309108
BGFV,BIG 5 SPORTING GOODS Corp,Consumer Cyclical,Retail - Apparel & Specialty,2020,2020-12-31,1041212000.0,-692041000.0,-275406000.0,76265000.0,55940000,699994000.0,0.6646494661990066,0.2645052112345997,0.07324637057582893,0.0537258502591211,20.36658232154237
BGFV,BIG 5 SPORTING GOODS Corp,Consumer Cyclical,Retail - Apparel & Specialty,2021,2021-12-31,1161820000.0,-725991000.0,-299812000.0,136017000.0,102386000,753953000.0,0.6248739047356734,0.2580537432648775,0.11707235199944914,0.0881255271900983,20.440840589811867
BGFV,BIG 5 SPORTING GOODS Corp,Consumer Cyclical,Retail - Apparel & Specialty,2022,2022-12-31,995538000.0,-654323000.0,-307700000.0,33515000.0,26134000,708793000.0,0.6572556748210515,0.3090791109932519,0.033665214185696575,0.02625113255345351,20.379074081359878
BGFV,BIG 5 SPORTING GOODS Corp,Consumer Cyclical,Retail - Apparel & Specialty,2023,2023-12-31,884745000.0,-598901000.0,-296578000.0,-10734000.0,-7083000,644683000.0,0.6769193383404257,0.3352129709690363,-0.012132309309462049,-0.008005696556634963,20.284269281079453
BGFV,BIG 5 SPORTING GOODS Corp,Consumer Cyclical,Retail - Apparel & Specialty,2024,2024-12-31,795468000.0,-560971000.0,-290065000.0,-55568000.0,-69072000,609366000.0,0.7052087576118713,0.36464697511402094,-0.06985573272589218,-0.08683190272895956,20.22792963037655
BIG,BIG LOTS INC,Consumer Defensive,Retail - Defensive,2020,2021-01-31,6199186000.0,-3701800000.0,-1965555000.0,393495000.0,629191000,4037257000.0,0.5971429152149976,0.3170666277798408,0.06347526917243651,0.10149574476390932,22.118831337925435
BIG,BIG LOTS INC,Consumer Defensive,Retail - Defensive,2021,2022-01-31,6150603000.0,-3753596000.0,-2015616000.0,238819000.0,177778000,3927253000.0,0.6102809757027076,0.32771030742839363,0.038828550631539706,0.028904157852490234,22.09120603623734
BIG,BIG LOTS INC,Consumer Defensive,Retail - Defensive,2022,2023-01-31,5468329000.0,-3554826000.0,-2040334000.0,-281690000.0,-210708000,3690931000.0,0.6500753703736553,0.3731183694324171,-0.051512994188901214,-0.03853242919363484,22.0291445666987
BIG,BIG LOTS INC,Consumer Defensive,Retail - Defensive,2023,2024-01-31,4722099000.0,-3035488000.0,-2141927000.0,-599820000.0,-481876000,3325309000.0,0.6428259975066173,0.45359637737370606,-0.12702402046208688,-0.10204699223798569,21.924828439067113
BIRD,"Allbirds, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2020,2020-12-31,219296000.0,-106555000.0,-141965000.0,-29224000.0,-25860000,244043000.0,0.4858957755727419,0.6473670290383774,-0.13326280461111922,-0.1179228075295491,19.31285499723908
